Season,Club,club_id,SummerSpend,SummerIncome,NetSpend,RecoveredIncomingFees,RecoveredOutgoingFees,InternalIncomingMoves,InternalOutgoingMoves,UnknownIncomingFees,UnknownOutgoingFees,NoFeeIncomingMoves,NoFeeOutgoingMoves,NotFoundIncomingFees,NotFoundOutgoingFees
17/18,Arsenal,11,53000000.0,67400000.0,-14400000.0,0,0,1,0,0,0,0,0,0,0
17/18,Burnley,1132,25500000.0,48900000.0,-23400000.0,0,0,0,0,1,0,0,0,0,0
17/18,Everton,29,158200000.0,96700000.0,61500000.0,0,0,2,0,0,0,0,0,0,0
17/18,Leicester,1003,76900000.0,9500000.0,67400000.0,0,0,0,0,0,0,0,0,0,0
17/18,Newcastle,762,31800000.0,14920000.0,16880000.0,0,0,0,0,0,0,0,0,0,0
17/18,Crystal Palace,873,37200000.0,3000000.0,34200000.0,0,0,0,0,0,0,0,0,0,0
17/18,Bournemouth,989,34300000.0,0.0,34300000.0,0,0,0,0,0,0,0,0,0,0
17/18,West Ham,379,25300000.0,15350000.0,9950000.0,0,0,1,0,0,0,0,0,0,0
17/18,Watford,1010,43900000.0,13000000.0,30900000.0,0,0,0,0,2,0,0,0,0,0
17/18,Brighton,1237,23400000.0,0.0,23400000.0,0,0,0,0,0,0,0,0,0,0
17/18,Huddersfield,1110,21000000.0,0.0,21000000.0,0,0,0,0,0,1,0,0,0,0
17/18,Southampton,180,39250000.0,13700000.0,25550000.0,0,0,0,0,0,1,0,0,0,0
17/18,Swansea,2288,0.0,63500000.0,-63500000.0,0,0,1,0,0,0,0,0,0,0
17/18,Stoke,512,7700000.0,27800000.0,-20100000.0,0,0,0,0,0,0,0,0,0,0
17/18,West Brom,984,36100000.0,0.0,36100000.0,0,0,0,0,0,0,0,0,0,0
18/19,Man City,281,71190000.0,27600000.0,43590000.0,0,0,2,0,0,0,0,0,0,0
18/19,Liverpool,31,192200000.0,14000000.0,178200000.0,0,0,2,0,0,0,0,0,0,0
18/19,Chelsea,631,137000000.0,35000000.0,102000000.0,0,0,0,0,0,0,0,0,0,0
18/19,Tottenham,148,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
18/19,Arsenal,11,77650000.0,8100000.0,69550000.0,0,0,1,0,0,0,0,0,0,0
18/19,Man United,985,81000000.0,23350000.0,57650000.0,0,0,1,0,0,0,0,0,0,0
18/19,Wolves,543,76600000.0,3400000.0,73200000.0,0,0,1,0,0,0,0,0,0,0
18/19,Everton,29,89650000.0,22500000.0,67150000.0,0,0,0,0,0,0,0,0,0,0
18/19,Leicester,1003,114600000.0,84300000.0,30300000.0,0,0,1,0,0,0,0,0,0,0
18/19,West Ham,379,99400000.0,12400000.0,87000000.0,0,0,1,0,0,0,0,0,0,0
18/19,Watford,1010,23350000.0,47700000.0,-24350000.0,0,0,0,0,0,0,0,0,0,0
18/19,Crystal Palace,873,10700000.0,0.0,10700000.0,0,0,0,0,0,0,0,1,0,0
18/19,Newcastle,762,25700000.0,47650000.0,-21950000.0,0,0,0,0,0,0,0,0,0,0
18/19,Bournemouth,989,56800000.0,2000000.0,54800000.0,0,0,0,0,0,0,0,0,0,0
18/19,Burnley,1132,16100000.0,0.0,16100000.0,0,0,1,0,0,0,0,0,0,0
18/19,Southampton,180,62250000.0,13700000.0,48550000.0,0,0,0,0,0,0,0,0,0,0
18/19,Brighton,1237,66220000.0,3400000.0,62820000.0,0,0,1,0,0,0,0,0,0,0
18/19,Cardiff,603,11350000.0,0.0,11350000.0,0,0,0,0,0,0,0,0,0,0
18/19,Fulham,931,49550000.0,0.0,49550000.0,0,0,0,0,0,0,0,0,0,0
18/19,Huddersfield,1110,10000000.0,0.0,10000000.0,0,0,0,0,0,0,0,0,0,0
19/20,Liverpool,31,1900000.0,39300000.0,-37400000.0,0,0,2,0,0,0,0,1,0,0
